time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp
00:27:44,900.0,0.0,,G2 Esports,Team BDS,0.0,-6.666666666666667,-1.25,1.0,6.0,7.0,-1.0,-7.0,-21.0,6.0,0,0,0,0,0,1,1,0,Sett,Udyr,Lissandra,Ezreal,Maokai,Gnar,Diana,Sylas,Lucian,Amumu
00:28:34,-4880.0,0.0,0.0,G2 Esports,Team BDS,,-6.666666666666667,-1.25,,6.0,16.0,-7.0,3.0,-24.0,6.0,0,0,0,0,0,1,1,0,Sett,Udyr,Lissandra,Ezreal,Maokai,Gwen,Lillia,Swain,Lucian,Amumu
00:02:06,,0.0,0.0,Astralis,Team BDS,1.0,,0.0,0.0,,2.0,2.0,4.0,0.0,-1.0,0,0,0,0,0,1,1,0,Gwen,Volibear,Sylas,MissFortune,Amumu,Ornn,Viego,Viktor,Zeri,Tahm Kench
00:05:54,,0.0,0.0,Misfits Gaming,SK Gaming,1.0,,0.0,0.0,,-6.0,0.0,-42.0,3.0,3.0,0,-1,0,0,0,0,1,0,Gnar,Lillia,Sylas,Zeri,Renata Glasc,Shyvana,Ivern,Akali,Sivir,Leona
00:08:43,-300.0,0.0,,Misfits Gaming,Astralis,2.0,,1.0,1.0,0.0,7.0,-13.0,0.0,-37.0,-5.0,0,0,0,0,0,1,1,1,Ornn,Viego,Orianna,Draven,Pyke,Sylas,Lillia,Twisted Fate,Sivir,Zyra
00:08:37,-700.0,0.0,-1.0,Astralis,Team Vitality,0.0,-11.0,-1.0,0.0,-1.0,-12.0,-27.0,-16.0,67.0,-10.0,0,0,0,0,0,1,1,0,Gnar,Ivern,Akali,Zeri,Rakan,Ornn,Trundle,Sylas,Xayah,Tahm Kench
00:19:06,-3600.0,-3.0,-3.0,Team BDS,Misfits Gaming,-2.0,-2.0,,-3.5,-3.0,-12.0,-3.0,-18.0,-17.0,-5.0,0,0,0,0,0,1,1,0,Sylas,Jax,Sylas,Sivir,Alistar,Ornn,Lillia,Sylas,Twitch,Tahm Kench
00:18:20,-200.0,0.0,-2.0,Rogue,,0.0,-2.5,,-3.0,-2.0,-4.0,-33.0,2.0,44.0,0.0,0,0,0,0,0,1,1,-1,Akali,Ivern,Zoe,Sivir,Amumu,Gwen,Trundle,Sylas,Kalista,Alistar
00:06:53,-9300.0,0.0,2.0,,Astralis,1.0,2.0,11.0,,2.0,-5.0,-14.0,2.0,57.0,5.0,0,0,0,0,0,1,1,0,Poppy,Viego,Sylas,Ezreal,Renata Glasc,Ornn,Trundle,Azir,Zeri,Tahm Kench
00:06:44,-500.0,0.0,0.0,SK Gaming,Astralis,0.0,0.0,0.0,1.0,0.0,-15.0,-36.0,54.0,-3.0,8.0,0,0,0,0,0,1,1,0,Gangplank,Volibear,Orianna,Xayah,Rakan,Pantheon,Trundle,Twisted Fate,Jinx,Tahm Kench
